"Name","LastKnownName","UEN","SocietyRegisteredAddress","RegisteredDate"
"Defu Manufacturers Association","Defu Manufacturing Association","S82SS0023C","2 Defu Lane 10, #02-501 , Singapore 539183","1982-04-01"
"Deloitte & Touche Recreation Club","Deloittee Haskins & Sells Recreation Club","S85SS0105B","6 Shenton Way, #32-00 DBS Building Tower Two, Singapore 068809","1985-12-02"
"Delta Avenue Residents' Committee","","S87SS0086B","3 DELTA AVENUE, #01-30/32 HDB-BUKIT MERAH, Singapore 160003","1987-02-24"
"Delta Indus Residents' Network","Covent-Indus Residents' Committee","S80SS0204E","570 Havelock Road, Singapore 169640","1980-09-24"
"Delta Residents' Committee","Leng Kee Zone 'C' Residents' Committee","S80SS0097A","400 Lengkok Bahru, Singapore 159049","1980-05-20"
"Democratic Progressive Party","","S73SS0021B","64 LUCKY GARDENS, Singapore 467698","1973-03-16"
"DenNyi Buddhist Society","","T26SS0050C","133 NEW BRIDGE ROAD, #08-01 CHINATOWN POINT, Singapore 059413","2026-03-19"
"Dental Surgery Assistants Association Singapore","","T15SS0035J","5 Second Hospital Avenue, National Dental Centre Singapore, Singapore 168938","2015-03-06"
"Deptford Lykos Football Club","","T20SS0019E","8 BURN ROAD, #15-15-13 TRIVEX, Singapore 369977","2020-01-28"
"Dermatological Society of Singapore","","S72SS0047E","1 Mandalay Road, National Skin Centre, Singapore 308205","1972-10-24"
"Design & Technology Educators Society","Technical Education Society","S64SS0033A","1 North Buona Vista Drive, #11-00 DT UNIT, SCIENCES BRANCH CURRICULUM PLANNING , Singapore 138675","1964-09-15"
"Design Business Chamber (Singapore)","Designers Association (Singapore)","S85SS0041C","111 MIDDLE ROAD, #03-01 NATIONAL DESIGN CENTRE, Singapore 188969","1985-04-30"
"Design Management Society","","T18SS0132E","3C TECK LIM ROAD, #3-00  , Singapore 088381","2018-09-24"
"Desmo Owners Club Singapore","","T19SS0202H","17 JALAN HOCK CHYE, Singapore 538194","2019-10-01"
"Desserts Association Singapore ","","T19SS0105E","50 TAGORE LANE, #05--04A  , Singapore 787494","2019-06-06"
"Destinasi Kebenaran","","T14SS0125A","10 ANSON ROAD, #26-04 INTERNATIONAL PLAZA, Singapore 079903","2014-07-31"
"Deutsche Bank Recreation Club","Eurasbank Recreation Club","S78SS0032F","1 RAFFLES QUAY, #17-00 , Singapore 048583","1978-04-27"
"Devotional Associates of Yogeshwar (Singapore)","Swadhaya Society, The","S87SS0096G","68 LENGKONG TIGA, #04-17 STARVILLE, Singapore 417472","1987-11-06"
"Dhamma Duta Buddhist Centre","","S93SS0070D","11 Lorong Bachok (Off Lorong 19) Geylang  11 Lorong Bachok (off Lorong 19) Geylang, Singapore 387785","1993-03-04"
"Dhamma Garden Buddhist Society (Singapore)","","T07SS0034J","40 JALAN SALANG, SEMBAWANG SPRINGS ESTATE, Singapore 769522","2007-01-04"
"DHAMMA VOICE CENTRE","","T26SS0086E","84B LORONG 25A GEYLANG, #2 , Singapore 388262","2026-04-30"
"Dhammakami Buddhist Society","Dhammakami","T07SS0230G","29 LORONG 29 GEYLANG, #06-01/02 , Singapore 388078","2007-11-21"
"Dhammakaya Centre (Singapore)","Kalyanamitta Centre (Singapore)","S99SS0136C","6 SUMANG WALK, Singapore 828675","1999-09-15"
"Dhammaramsi Buddhist Society","","T16SS0114K","7 BRIGHT HILL DRIVE, #05-03 THOMSON VIEW CONDOMINIUM, Singapore 579599","2016-06-10"
"Dharma Cakra Society, The","","S69SS0051L","38 Jalan Eunos, Singapore 419500","1969-10-27"
"Dharma Drum (Singapore)","","T04SS0012C","146B PAYA LEBAR ROAD, #06-01 ACE BUILDING, Singapore 409017","2004-03-03"
"Dharma Treasure Centre","","T19SS0102F","529 BALESTIER ROAD, #02-01 , Singapore 329856","2019-06-01"
"Dharmagiri (Singapore)","","T15SS0168C","23 WOODLANDS INDUSTRIAL PARK E1, #02-05 ADMIRALTY INDUSTRIAL PARK, Singapore 757741","2015-10-01"
"Di Men Dian","","T09SS0199J","31 EE TEOW LENG ROAD, Singapore 549641","2009-09-28"
"Di Zang Lin","Di Zhang Lin","T02SS0181A","469 Macpherson Road, #03-01 Gnok Hock Building, Singapore 368186","2002-10-15"
"Diabetes Singapore","Diabetic Society of Singapore","S71SS0043E","528 JURONG WEST STREET 52, #01-353 , Singapore 640528","1971-09-25"
"Diabetic Health Recovery Association","","T14SS0068G","100 PASIR PANJANG ROAD, #05-05 100 PASIR PANJANG, Singapore 118518","2014-05-02"
"Diamond Exchange of Singapore","Diamond Importers Association Of Singapore","S76SS0038E","140 KING'S ROAD, #01-03 CHARMING GARDEN, Singapore 268157","1976-08-20"
"DIAN Dancers","","T13SS0183A","28 RIVERSIDE ROAD, #2-Rm D PROGEN BUILDING, Singapore 739085","2013-11-05"
"Dicapella Dizi Ensemble","","T15SS0017B","100 JALAN SULTAN, #01-27 SULTAN PLAZA, Singapore 199001","2015-02-02"
"Digital Agritech Association of Singapore","","T21SS0122A","3 FUSIONOPOLIS WAY, #13-24/25 SYMBIOSIS, Singapore 138633","2021-07-06"
"Digital Defence Alliance Singapore","","T25SS0074C","6 RAFFLES BOULEVARD, #03-308 MARINA SQUARE, Singapore 039594","2025-05-29"
"Digital Health Society of South East Asia","","T24SS0011B","33 BISHAN STREET 11, #20-12 BISHAN LOFT, Singapore 579820","2024-01-17"
"Digital Movement","","T06SS0249D","418 UPPER PAYA LEBAR ROAD, #03-06 CHARLESVILLE, Singapore 534996","2006-09-12"
"Digital Platforms Industry Association","DPIA","T22SS0075F","7 TEMASEK BOULEVARD, #12-07 SUNTEC TOWER ONE, Singapore 038987","2022-06-06"
"DING SHENG DRAGON AND LION DANCE ASSOCIATION","","T23SS0144B","48 TOH GUAN ROAD EAST, #09-116 ENTERPRISE HUB, Singapore 608586","2023-12-05"
"Ding Xiaoyan Ruan Ensemble","","T17SS0205H","5000A MARINE PARADE ROAD, #23-01 LAGUNA PARK, Singapore 449284","2017-10-27"
"Diploma Marine Engineering Association Bangladesh, Singapore","","T09SS0222D","1010 DOVER ROAD, #01-254V SINGAPORE POLYTECHNIC (SP GRADUATES GUILD CLUB HOUSE), Singapore 139658","2009-10-15"
"Direct Selling Association of Singapore (DSAS)","","S76SS0032G","167 JALAN BUKIT MERAH, #03-13 CONNECTION ONE, Singapore 150167","1976-09-29"
"Disabled People's Association","","S86SS0002F","50 CHIN SWEE ROAD, #09-04 THONG CHAI BUILDING, Singapore 169874","1986-04-28"
"Disc Knights","","T14SS0092B","13 PAVILION RISE, PAVILION PARK, Singapore 658648","2014-06-13"
"DISCIPLES ESCOFFIER INTERNATIONAL, SINGAPORE DELEGATION","","T17SS0145D","215 HENDERSON ROAD, #03-03 HENDERSON INDUSTRIAL PARK, Singapore 159554","2017-08-08"
"Disciples of Christ Family","","T19SS0177K","16 SIN MING WALK, #05-04 BISHAN PARK CONDOMINIUM, Singapore 575568","2019-08-17"
"Discovery Flying Club","","T09SS0058B","80 Seletar Aerospace View, #01-01 General Aviation Centre, Singapore 797563","2009-03-17"
"Disctractors","","T15SS0079B","No.1 FIFTH LOK YANG ROAD, Singapore 629753","2015-05-10"
"Discus Club (Singapore)","","S97SS0145B","722 Clementi West Street 2, #01-162 , Singapore 120722","1997-09-26"
"Distinguished Universities Alumni League","","T01SS0151C","39C Namly Place, Singapore 267186","2001-07-31"
"District Grand Lodge of Mark Master Masons of Singapore","","T16SS0058A","23A Coleman Street, Masonic Hall, Singapore 179806","2016-03-22"
"District Grand Lodge of the Eastern Archipelago, The","","S62SS0064B","23-A Coleman Street, Freemasons' Hall, Singapore 179806","1962-03-24"
"District Grand Lodge of the Middle East, The","","S62SS0065J","23-A Coleman Street, Freemasons' Hall, Singapore 179806","1962-04-17"
"DISTRICT GRAND ROYAL ARCH CHAPTER OF SOUTH EAST ASIA","","T19SS0231E","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2019-10-24"
"DIVINEWAY METAPHYSICS ASSOCIATION OF SINGAPORE","","T14SS0032E","374 JOO CHIAT ROAD, Singapore 427619","2014-02-28"
"Dizi Society (Singapore)","","T00SS0029D","9 Woodlands Drive 72, #12-19 , Singapore 738093","2000-06-02"
"DLs' Caring Community","DL Caring Community","T15SS0053E","28 Senang Crescent, #04-01 Bizhub 28, Singapore 416601","2015-03-31"
"DMET-MERI ALUMNI (SINGAPORE)","DMET MERI ALUMNI,SINGAPORE","T12SS0200C","31 CANTONMENT ROAD, Singapore 089747","2012-10-12"
"d'Nest Residents' Network","","T20SS0114E","536 PASIR RIS DRIVE 1, #01-286 , Singapore 510536","2020-08-04"
"Dodgeball Association Of Singapore","","T11SS0018L","646 UPPER SERANGOON ROAD, Singapore 534580","2011-02-05"
"Dodgeball Federation of Singapore","","T24SS0031A","17 SPRINGLEAF HEIGHT, SPRINGLEAF GARDEN, Singapore 788111","2024-02-16"
"Dodgeball Singapore Federation","","T18SS0078K","21 WOODLANDS CLOSE, #06-14 PRIMZ BIZHUB, Singapore 737854","2018-06-11"
"Dog Groomers Association of Singapore","","T09SS0174H","445 Sembawang Road, Sembawang Park, Singapore 758403","2009-09-02"
"Dog Trainers Association (Singapore)","","T15SS0089G","16 PASIR RIS FARMWAY 2, Singapore 519316","2015-05-27"
"Donate A Life Insurance Policy Program (DALIPP Association)","","T07SS0047B","190 Middle Road, #19-05 Fortune Centre, Singapore 188979","2007-01-11"
"Dong Shan Temple","","S87SS0112G","358 Yishun Avenue 3, Singapore 769058","1987-10-23"
"Dong Tsang Ri Tro Buddhist Society","","T13SS0141L","203A LAVENDER STREET, Singapore 338763","2013-08-22"
"DONG YU HU SONG DIAN","","T15SS0046K","1 BUKIT BATOK CRESCENT, #08-32 WCEGA PLAZA, Singapore 658064","2015-03-19"
"Dong Yue Qi Yin Dian Temple","","T11SS0061J","95 KAKI BUKIT AVENUE 1, #04-02 SHUN LI INDUSTRIAL PARK, Singapore 415982","2011-04-04"
"DONGLIN SI HOME OF AMITABHA BUDDHIST SOCIETY OF SINGAPORE","","T21SS0198A","467 BALESTIER ROAD, #2-NA  , Singapore 329840","2021-12-19"
"DOULAS OF SINGAPORE","","T16SS0070K","50 AMBER ROAD, #21-06 AMBER RESIDENCES, Singapore 439888","2016-04-08"
"Dover Clementi Sports Club","Dover Recreation Club","S77SS0020D","108 Jurong East Street 13, #05-272 , Singapore 600108","1977-01-06"
"Dover Court Association","","T16SS0163F","301 DOVER ROAD, DOVER COURT PREPARATORY SCHOOL, Singapore 139644","2016-09-22"
"Dover Heritage Residents' Network","","T20SS0189J","450 TELOK BLANGAH STREET 31, TELOK BLANGAH COMMUNITY CLUB, Singapore 108943","2020-12-29"
"Dover Park Hospice","","S92SS0138D","1 TAN TOCK SENG LINK, #03-00 TTSH INTEGRATED CARE HUB, Singapore 307382","1992-11-19"
"Down Syndrome Association (Singapore)","","S96SS0170K","9 BISHAN PLACE, #09-01 JUNCTION 8 SHOPPING CENTRE, Singapore 579837","1996-09-16"
"DP Recreation Club","","T14SS0025K","5 JALAN SAMULUN, Singapore 629122","2014-02-13"
"DRACEA","","T14SS0180G","10 ANSON ROAD, #15-02 INTERNATIONAL PLAZA, Singapore 079903","2014-12-08"
"Dragon Archery Academy Singapore","","T20SS0169K","15 KALIDASA AVENUE, TEACHER'S HOUSING ESTATE, Singapore 789394","2020-12-05"
"Dragon Art Athletic Association","","S79SS0029L","102 Yishun Avenue 5, #04-105 , Singapore 760102","1979-07-06"
"Dragon Lion Dance Singapore Sports Federation","","T21SS0062H","15 YISHUN INDUSTRIAL STREET 1, #06-22 WIN 5, Singapore 768091","2021-04-21"
"Dragon Lotus Hill Temple","","S95SS0033D","5 Choa Chu Kang Street 51 Site A, Singapore 689333","1995-08-23"
"Dragon Storm","","T26SS0015G","146 LORONG 2 TOA PAYOH, #18-322 TOA PAYOH TOWERS, Singapore 310146","2026-01-29"
"DRAGONS RUGBY CLUB","","T11SS0071C","10 GROVE LANE, HENRY PARK, Singapore 279016","2011-04-30"
"Dreams and Wishes Foundation","","T02SS0057D","9 Battery Road, #10-08 Straits Trading Building, Singapore 049910","2002-03-27"
"Drepung Meditation Yoga Society","","T09SS0024C","159 SIMS AVENUE, Singapore 387481","2009-01-16"
"DRIGAR THUBTEN DARGYE LING","DRI THUBTEN DARGYE LING","T07SS0161E","137 SIMS AVENUE, Singapore 387459","2007-08-04"
"Drikung Achi Dharma Tara Society","","T25SS0194D","183 JALAN PELIKAT, #01-41 THE PROMENADE@PELIKAT, Singapore 537643","2025-11-27"
"Drikung Dharma Chakra Centre","","T11SS0199E","22 EWE BOON ROAD, #03-03 Palm Spring, Singapore 259328","2011-10-31"
"DRIKUNG KAGYU (SINGAPORE) OM CENTRE","","T09SS0226K","24 LORONG 29 GEYLANG, #03-00 LEOW SIH BUILDING, Singapore 388073","2009-10-23"
"Drikung Kagyu Society (Singapore)","","T12SS0136C","26 SIN MING LANE, #06-119 MIDVIEW CITY, Singapore 573971","2012-07-23"
"DRISHTI ARTS CULTURE AND SPORTS ASSOCIATION","","T25SS0094B","10 ANSON ROAD, #19-01 INTERNATIONAL PLAZA, Singapore 079903","2025-07-03"
"DRO PEN LHUN DRUB LING BUDDHIST SOCIETY","","T08SS0120E","18 Lor 24A Geylang, #01-18 , Singapore 398542","2008-06-27"
"Dromtonpa Buddhist Society (Singapore)","","T11SS0099C","44 LORONG 32 GEYLANG, Singapore 398304","2011-06-08"
"DRUM CIRCLE SOCIETY (SINGAPORE)","","T07SS0005A","150 SIMS DRIVE, #07-00 , Singapore 387381","2007-03-21"
"Drupal Developer Network (Singapore)","","T12SS0015F","71 AYER RAJAH CRESCENT, #02-18 , Singapore 139951","2012-01-30"
"Ducati Owners Club (Singapore)","","T07SS0075C","290 LAVENDER STREET, Singapore 338805","2007-02-20"
"Dudjom Dharma House (Singapore)","","T08SS0099B","23 WOODLANDS INDUSTRIAL PARK E1, #05-04 ADMIRALTY INDUSTRIAL PARK, Singapore 757741","2008-05-22"
"Duke (Singapore)","","T14SS0074F","73 LENGKONG EMPAT, HUA YU MANSION, Singapore 417653","2014-05-19"
"Duke-NUS Medical Alumni","","T13SS0056E","8 College Road, #06 Duke-NUS Graduate Medical Scho, Singapore 169857","2013-04-15"
"Dunearn Residents' Network","","T22SS0141J","20 TOH YI DRIVE, BUKIT TIMAH COMMUNITY CLUB, Singapore 596569","2022-11-10"
"Dunearn Tech-Greenridge Alumni Association","","T05SS0026H","32 BUKIT PANJANG RING ROAD, GREENRIDGE SECONDARY SCHOOL, Singapore 679938","2005-01-04"
"Dunman High School Alumni, The","Dunman High School Old Students' Association","S85SS0008K","10 Tanjong Rhu Road, Singapore 436895","1985-09-04"
"Dunman Secondary Alumni","Former Dunmanites Association","S84SS0102J","21 Tampines Street 45, c/o Dunman Secondary School, Singapore 529093","1984-11-06"
"Durga Devi Amma Society","","S96SS0035A","716 Yishun Street 71, #01-252 , Singapore 760716","1996-03-09"
"Dutch Chamber of Commerce Singapore","ADB-DutchCham","T08SS0125G","1 KEONG SAIK ROAD, Singapore 089109","2008-05-16"
"Duxton Plain Fencing Club","","S96SS0124B","45 Jalan Menarong, Singapore 577452","1996-05-29"
"Dynamic Shooting Association (Singapore)","","T03SS0094H","32 HILLVIEW TERRACE, HILLVIEW INDUSTRIAL ESTATE, Singapore 669250","2003-05-02"
"DYPV Club","","T13SS0089H","235 ARCADIA ROAD, #01-02 ARCADIA, THE, Singapore 289843","2013-05-16"
"Dzogchen Shri Singha Buddhist Centre","","S98SS0034D","24 Springleaf View, Singapore 787929","1998-04-22"
"Dzogchen Yeshi Choeling Buddhist Society","","T10SS0035F","29 HILLVIEW TERRACE, #07-00 HILLVIEW WAREHOUSE, Singapore 669245","2010-02-11"
"Dzogpa Sangye Buddhist Society","","T18SS0112F","68 LORONG 16 GEYLANG, #02-04 ASSOCIATION BUILDING, Singapore 398889","2018-08-08"
"Eager Beavers (Yishun) Parent Support Group","","T15SS0052J","202 YISHUN STREET 21, #02-81 , Singapore 760201","2015-03-27"
"Eagles Car Club (SG)","","T20SS0103D","53 UBI AVENUE 1, #01-35 PAYA UBI INDUSTRIAL PARK, Singapore 408934","2020-07-10"
"Eagles Hockey Club","","T11SS0215E","36 NEMESU AVENUE, SEMBAWANG HILLS ESTATE, Singapore 576268","2011-12-13"
"Early Childhood Education Association Singapore","","T25SS0092K","3 SHENTON WAY, #12-07 SHENTON HOUSE, Singapore 068805","2025-07-03"
"Earth Society","","T12SS0169F","111 NORTH BRIDGE ROAD, #21-01 PENINSULA PLAZA, Singapore 179098","2012-09-02"
"Earthlink, Nanyang Technological University","The Environmental Club, Nanyang Technological University","S92SS0072B","50 Nanyang Avenue, Nanyang Technological University, Singapore 639798","1992-12-22"
"East Canberra Zone 1 Residents' Network","","T20SS0004J","107A CANBERRA STREET, #01-567 EASTBROOK @ CANBERRA, Singapore 751107","2020-01-07"
"East Canberra Zone 2 Residents' Network","","T18SS0143F","120A CANBERRA CRESCENT, #01-345 EASTWAVE @ CANBERRA, Singapore 751120","2018-10-12"
"East Canberra Zone 3 Residents' Network","","T18SS0144B","129A CANBERRA STREET, #01-638 EASTCROWN @ CANBERRA, Singapore 751129","2018-10-12"
"East Canberra Zone 4 Residents' Network","","T22SS0092F","2125 SEMBAWANG ROAD, SEMBAWANG COMMUNITY CLUB, Singapore 758528","2022-07-14"
"East China Normal University Alumni Association Of Singapore","","T15SS0150H","9 TAMAN SERASI, #08-09 BOTANIC GARDENS VIEW, Singapore 257720","2015-09-15"
"East Coast Apartments' Residents' Association","","S95SS0064D","355B TELOK KURAU ROAD, Singapore 423876","1995-03-07"
"East Coast Residents' Network","","T23SS0022J","6 PALM ROAD, SIGLAP SOUTH COMMUNITY CENTRE, Singapore 456441","2023-02-13"
"East Coast United Football Club (ECUFC)","","T21SS0178B","3 TOSCA TERRACE, OPERA ESTATE, Singapore 455397","2021-11-19"
"East Slammers Tennis and Wellness Club ","","T21SS0091E","13 BEDOK RESERVOIR VIEW, #10-04 AQUARIUS BY THE PARK, Singapore 478932","2021-05-25"
"East View Garden Residents' Network","","T25SS0128H","10 SIMEI STREET 2, CHANGI-SIMEI COMMUNITY BUILDING, Singapore 529915","2025-08-07"
"East Zone Sports Club","Woodlands New Town Sports Club","S77SS0028E","345 GEYLANG ROAD, #02-01 , Singapore 389366","1977-05-17"
"EASTer Rowing Club (Singapore)","","T13SS0078G","549 EAST COAST ROAD, #01-18 THE SOUND, Singapore 429074","2013-05-07"
"Eastern Archipelago Conclave No. 359","","T06SS0008F","23A Coleman Street, Singapore 179806","2006-01-25"
"Eastern Archipelago Consistory No 101","","T18SS0069A","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2018-05-28"
"Eastern Gate Lodge No 2970 E.C.","","T22SS0087C","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2022-06-22"
"Eastern Gate Royal Arch Chapter No. 2970 E.C.","","T25SS0058K","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2025-04-24"
"Eastern Knights Chess Club","","T11SS0159G","451 Joo Chiat Road, #02-04 Katong Junction, Singapore 427664","2011-08-25"
"EASTERN REDS RUGBY","Eastern Rebels Rugby","T19SS0118J","140 UPPER BUKIT TIMAH ROAD, #03-08 BEAUTY WORLD PLAZA, Singapore 588176","2019-06-24"
"Eastern Thunder Football Club","Admiralty Football Club","S88SS0024G","697E EAST COAST ROAD, FRANKEL ESTATE, Singapore 459060","1988-04-25"
"Eastvale Residents' Network","","T19SS0162C","536 PASIR RIS DRIVE 1, #01-286 , Singapore 510536","2019-08-01"
"Eastwood Ria Residents' Network","","T26SS0018F","850 NEW UPPER CHANGI ROAD, BEDOK COMMUNITY CENTRE, Singapore 467352","2026-01-29"
"EasyRiders Motorcycling Club","","T00SS0180F","46 Pandan Loop, Singapore 128262","2000-08-26"
"Ebenezer Assembly","","T08SS0014D","18 Boon Lay Way, #04-148 Tradehub 21, Singapore 609966","2008-05-13"
"Ebenezer Church","","T06SS0250A","29 JURONG WEST STREET 41, #08-01 THE LAKESHORE, Singapore 649411","2006-12-06"
"Ebenezer Evangelical Free Church","","T16SS0118E","159 SIN MING ROAD, #06-07 AMTECH BUILDING, Singapore 575625","2016-06-11"
"EBENEZER MALAYALAM FELLOWSHIP (SINGAPORE)","","T09SS0143H","101 Cecil Street, #24-10 Tong Eng Building, Singapore 069533","2009-07-19"
"Ecclesia Missions","","T17SS0171B","67 POH HUAT ROAD, #02-01 , Singapore 546776","2017-09-11"
"Echo Philharmonic Society","","S97SS0070B","126 CAIRNHILL ROAD, #02-01 ONE-TWO-SIX CAIRNHILL ART CENTRE, Singapore 229707","1997-05-07"
"Eckankar Satsang Singapore","","S79SS0022F","113 EUNOS AVENUE 3, #03-06 GORDON INDUSTRIAL BUILDING, Singapore 409838","1979-06-04"
"Eco Ris Residents' Network","Pasir Ris Zone '1' Residents' Network","S91SS0090D","115 PASIR RIS STREET 11, #01-569 HDB-PASIR RIS, Singapore 510115","1991-07-22"
"eCommerce Association of Singapore","","T09SS0255G","600 North Bridge Road, #12-04 Parkview Square, Singapore 188778","2009-12-08"
"Economic Society of Singapore","Economics Society of Singapore, The","S56SS0021L","1 Arts Link National University of Singapore 1 Arts Link, C/O Dept of Economics National University of Singapore , Singapore 117568","1956-11-08"
"Economy And Technology Association (Singapore)","","T16SS0179J","6 RAFFLES QUAY, #14-06 , Singapore 048580","2016-10-10"
"Ecopolitan Residents' Network","","T19SS0166J","259C PUNGGOL FIELD, #01-47 PUNGGOL TOPAZ, Singapore 823259","2019-08-05"
"Edaljee Khory Lodge No 436 E.C.","","T16SS0080D","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2016-04-25"
"E-Darts Association of Singapore","","T21SS0193K","16 TAI SENG STREET, #05-04  , Singapore 534138","2021-12-12"
"EDB Recreation Club","","S67SS0032J","250 NORTH BRIDGE ROAD, #22-00 RAFFLES CITY TOWER, Singapore 179101","1967-08-29"
"EDB Society, The","","S90SS0047A","250 North Bridge Road, #28-00 Raffles City Tower, Singapore 179101","1990-03-13"
"Eden Bible-Presbyterian Church","","S99SS0100A","15-19 Green Lane, Singapore 438917","1999-07-01"
"Eden Church","Prayer Castle Church","T12SS0130E","18 BOON LAY WAY, #07-104 TRADEHUB 21, Singapore 609966","2012-07-16"
"Eden Community Services Centre","","S99SS0093K","252 COMPASSVALE STREET, #01-01 COMPASSVALE HAVEN, Singapore 540252","1999-06-23"
"Edge Ice Skating Club","","T19SS0208F","2 KALLANG AVENUE, #09-08 CT HUB, Singapore 339407","2019-10-04"
"Education Society of Singapore","","T16SS0177F","60 PAYA LEBAR ROAD, #07-54 PAYA LEBAR SQUARE, Singapore 409051","2016-10-06"
"Educational Research Association of Singapore","Educational Research Association","S86SS0018J","1  Nanyang Walk, National Institute of Education, Singapore 637616","1986-01-21"
"eGenie Forum","","T19SS0207K","114 LAVENDER STREET, CT HUB 2, Singapore 338729","2019-10-04"
"Eggs' Import/ Export Trading Association (Singapore)","","T00SS0157G","1030 Sembawang Road, Singapore 758501","2000-08-21"
"EIDO KAN KARATE CLUB","","T08SS0183A","53 Tampines Avenue 1, #03-04 The Tropica, Singapore 529772","2008-09-22"
"Eisodos Archery Club","","T23SS0073H","95 HILLVIEW AVENUE, #02-27 THE PETALS, Singapore 669627","2023-06-03"
"Eit San Tong Temple","","S90SS0003H","582 Lorong 3 Geylang, Singapore 388992","1990-03-23"
"Ekayana Buddhism Research Centre","","S91SS0097J","341-C Beach Road, Singapore 199567","1991-12-14"
"Ekayana Sutra and Tantra Buddhist Centre","","T13SS0077L","105 SIMS AVENUE, #09-04 CHANCERLODGE COMPLEX, Singapore 387429","2013-05-07"
"El Shaddai Dwxi- Prayer Partners Foundation International, Inc.(Singapore Chapter)","","S99SS0031K","1 COLEMAN STREET, #06-04 THE ADELPHI, Singapore 179803","1999-09-09"
"Elan","","T06SS0231J","31 Moonstone Lane, #01-10 , Singapore 328496","2006-08-11"
"ELANTRA AVANTE CLUB SINGAPORE","Elantra Club (Singapore)","T13SS0043A","253 ALEXANDRA ROAD, Singapore 159936","2013-03-19"
"Electric Vehicle Association of Singapore","","T17SS0214F","1 COMMONWEALTH LANE, #09-30 ONE COMMONWEALTH, Singapore 149544","2017-11-07"
"Electrical And Computer Engineering Club","National University of Singapore Electronics Club","S72SS0025C","10 Kent Ridge Crescent, Faculty of Engineering National University Of Singapore, Singapore 119260","1972-05-06"
"Electronics Industries Training Centre","","S87SS0027A","5000 Ang Mo Kio Avenue 5, #02-08 Techplace II, Singapore 569870","1987-01-24"
"Eleos Christian Fellowship","","T23SS0119L","190 CLEMENCEAU AVENUE, #06-08 SINGAPORE SHOPPING CENTRE, Singapore 239924","2023-10-29"
"Elias Green Residents' Network","","T24SS0016D","536 PASIR RIS DRIVE 1, #01-286  , Singapore 510536","2024-01-23"
"Elias Park Football Club","","T01SS0198F","2 KIM CHUAN DRIVE, #08-01 CSI DISTRIBUTION CENTRE, Singapore 537080","2001-10-31"
"Elias Rise Residents' Network","Elias Rise Residents' Committee","S95SS0082L","520 PASIR RIS STREET 52, #01-13 ELIAS PARKS ESTATE, Singapore 510520","1995-01-27"
"Elias View Residents' Network","Elias view Residents' Committee","S95SS0170E","93 Pasir Ris Drive 3, Singapore 519498","1995-12-04"
"Elim Revival Church","","T07SS0181D","34A Cuff Road, Singapore 209742","2007-07-11"
"Elite Badminton Club","","T04SS0006D","231 Bain Street, #01-55 Bras Basah Complex, Singapore 180231","2004-04-16"
"Elite Recreation Club","","S85SS0045J","85-B Keong saik Road, Singapore 089132","1985-07-09"
"Elite Swim Club","","T04SS0040D","30 Dover Rise, #11-08 Dover Parkview, Singapore 138687","2004-01-15"
"Elite Youth Chinese Chamber Orchestra, (Singapore)","","T06SS0063A","21 SERANGOON AVENUE 3, #04-07 SUNNYDALE, THE, Singapore 556124","2006-02-19"
"El-Shaddai Ministries","","T07SS0026G","21 Moonstone Lane, #02-02 Poh Leng Building, Singapore 328462","2007-01-25"
"Elvis Presley Fan Club of Singapore","","T24SS0097G","22 SIN MING LANE, #06-76 MIDVIEW CITY, Singapore 573969","2024-08-01"
"Embalmers Association Singapore","","T20SS0067E","13 SELETAR ROAD, #5-57 THE GREENWICH, Singapore 807017","2020-04-30"
"Embrace Church","","T17SS0190E","52 UBI AVENUE 3, #04-47 FRONTIER, Singapore 408867","2017-10-06"
"EMDR Singapore","","T10SS0113F","80B LORONG J TELOK KURAU, Singapore 425885","2010-07-19"
"Emerald Hill Conservation Association","","T09SS0116C","10 COLLYER QUAY, #27-00 OCEAN FINANCIAL CENTRE, Singapore 049315","2009-06-03"
"Emmanuel Assembly of God","","S69SS0055F","165 Upper East Coast Road, Singapore 455266","1969-12-26"
"Emmanuel Bible-Presbyterian Church","","S86SS0052J","1 PEMIMPIN DRIVE, #11-04 ONE PEMIMPIN, Singapore 576151","1986-11-17"
"Emmanuel Christian Church","","S97SS0105D","18 Boon Lay Way, #02-135 TradeHub 21, Singapore 609966","1997-06-23"
"Emmanuel Church of Singapore","The New Testament Church of Singapore","S70SS0022E","68 Lorong 16 Geylang, #04-04 Association Building, Singapore 398889","1970-07-13"
"Emmanuel Evangelical Free Church","Emmanuel Evangelical Church","S71SS0006F","307 Pasir Panjang Road, Singapore 118647","1971-04-24"
"Emmanuel Pentecostal Church","","T23SS0026D","39A JALAN PEMIMPIN, #05-03 HALCYON BUILDING, Singapore 577183","2023-02-21"
"Emmanuel Reformed Bible College","","T15SS0083J","1 TAO CHING ROAD, CALVARY BIBLE-PRESBYTERIAN CHURCH, Singapore 618720","2015-05-18"
"Emmaus Christian Church","","T03SS0165B","12 West Coast Walk, #02-01E West Coast Recreation Centre, Singapore 127157","2003-10-16"
